text,label
"계속 우울한 생각이 떠나지 않는다",1
"슬픈 노래를 들으며 눈물이 났다",1
"건강이 걱정돼서 불안하다",2
"중요한 서류를 잃어버려서 초조하다",2
"약속을 어겨서 짜증이 난다",3
"길에서 무례한 사람을 만나 화가 났다",3
"새로운 취미가 기대돼서 설렌다",4
"공연을 보러 가는 길에 두근거린다",4
"혼자 있는 시간이 길어지니 외롭다",5
"친구와의 갈등으로 공허함을 느낀다",5
"호흡을 가다듬으니 마음이 차분해졌다",6
"따뜻한 햇살에 평온함을 느낀다",6
"오늘은 만족스러운 성과를 냈다",0
"계속 피곤해서 집중이 안 된다",1
"중요한 발표가 걱정돼서 불안하다",2
"교통사고 소식에 분노가 치밀었다",3
"새로운 프로젝트가 기대돼서 설렌다",4
"혼자 카페에 앉아 있으니 외롭다",5
"저녁 산책으로 마음이 안정된다",6
"친구의 선물에 행복했다",0
"업무 과중으로 너무 피곤하다",1
"미래 계획이 불안하게 느껴진다",2
"서비스 불만으로 화가 났다",3
"새로운 책을 읽을 생각에 설렌다",4
"연락이 끊긴 친구가 생각나 외롭다",5
"조용한 호수에서 평온을 느낀다",6
"오늘 하루가 정말 만족스럽다",0
"계속 우울한 기분이 이어진다",1
"시험 준비 때문에 불안하다",2
"약속 시간에 늦어 짜증이 났다",3
"새로운 공연 소식에 흥분된다",4
"혼자 집에 있으니 공허하다",5
"따뜻한 음악에 마음이 안정된다",6
"작은 성공에도 행복을 느낀다",0
"몸이 아파서 피곤하고 우울하다",1
"중요한 결정이 불안하게 느껴진다",2
"서비스 태도에 분노를 느꼈다",3
"여행 계획을 세우며 설렌다",4
"밤에 혼자 있으면 외로움이 커진다",5
"차분한 분위기에서 평온을 느낀다",6
"친구와의 대화가 즐거웠다",0
"최근에 계속 피곤해서 지친다",1
"면접 결과가 걱정돼서 불안하다",2
"거짓말을 들어서 화가 났다",3
"새로운 취미가 기대돼서 설렌다",4
"혼자 걷는 길이 외롭게 느껴진다",5
"호흡을 고르니 마음이 편안해졌다",6
"마음이 텅 빈 것처럼 시리다",5
"맛있는 음식을 먹고 기분이 좋아졌다",0
"부모님과 의견이 달라서 다투었다",3
"새로운 환경에 적응하며 성장할 내 모습이 기대된다",4
"집에 가는 길에 차가 너무 막혀서 답답했다", 3
"나와 맞는 진로를 찾지 못해서 걱정이 된다",2
"오랜만에 본가에 내려와서 마음이 편안해졌다",6
"되는 일이 없고 무기력하다",1
"티켓팅에 성공해서 기쁘다",4
"친구들과 함께 찍은 사진이 마음에 든다",0
"남자친구와 헤어지니 쓸쓸하다",5
"이대로는 16강에 진출할 수 있을지 모르겠다",2
"새로운 친구가 생겨서 기분이 좋다",0
"아르바이트에서 진상 고객을 만나 힘들었다",3
"중요한 시험을 앞두었는데 컨디션이 좋지 않다",2
"정들었던 동아리 부원이 나가서 아쉽다",5
"부원 간 오해가 풀려서 다행이다",6
"제주도로 여행 갈 생각에 벌써 기대돼",4
"우연히 들어간 카페가 예쁘고, 음료도 맛있었다",0
"직장 업무가 많아서 지친다",1
"열심히 준비한 퀴즈에서 원하는 점수를 받지 못했다",1
"볼링을 처음 해봤는데 재밌었다",0
"친하다고 생각했던 친구가 나를 싫어하는것 같다",2
"열차를 놓칠뻔 했는데 열심히 달려서 탔다",6
"무사히 수술이 끝나서 마음이 놓였다",6
